[[41611.485605418], [0.2816818058490753], [0.10795795917510986], [9.807944297790527]]
[[41611.505605418], [0.29264548420906067], [0.10833165049552917], [9.795281410217285]]
[[41611.525605418], [0.27286988496780396], [0.10834934562444687], [9.801173210144043]]
[[41611.545605418], [0.29286327958106995], [0.10326565057039261], [9.817097663879395]]
[[41611.565605418], [0.2814856469631195], [0.11505666375160217], [9.795355796813965]]
[[41611.585605418], [0.2911441922187805], [0.09829244017601013], [9.803105354309082]]
[[41611.605605312], [0.27456703782081604], [0.09614496678113937], [9.813807487487793]]
[[41611.625606312], [0.2815053164958954], [0.10707372426986694], [9.808097839355469]]
[[41611.645606312], [0.28696581721305847], [0.12245117872953415], [9.809086799621582]]
[[41611.665606312], [0.26839715242385864], [0.1159062385559082], [9.808564186096191]]
[[41611.685606312], [0.2828473746776581], [0.08063730597496033], [9.810378074645996]]
[[41611.705606312], [0.2652108669281006], [0.11506157368421555], [9.808542251586914]]
[[41611.725606312], [0.2667033076286316], [0.09795112907886505], [9.799385070800781]]
[[41611.745606312], [0.2734958529472351], [0.10488736629486084], [9.793092727661133]]
[[41611.765606312], [0.28200629353523254], [0.0927492156624794], [9.79926586151123]]
[[41611.785606312], [0.27924907207489014], [0.1253167688846588], [9.813117980957031]]
[[41611.805606312], [0.28541499376296997], [0.09861087799072266], [9.81607437133789]]
[[41611.825606312], [0.29315808415412903], [0.12108224630355835], [9.80174732208252]]
[[41611.845607206], [0.2808867394924164], [0.0919337123632431], [9.806344985961914]]
[[41611.865607206], [0.28791576623916626], [0.1115923523902893], [9.831406593322754]]
[[41611.885607206], [0.29504844546318054], [0.08775575459003448], [9.812043190002441]]
[[41611.905607206], [0.3060837686061859], [0.11395192891359329], [9.808039665222168]]
[[41611.925607206], [0.2837914526462555], [0.10700144618749619], [9.817550659179688]]
[[41611.945607206], [0.2876894474029541], [0.12307311594486237], [9.812565803527832]]
[[41611.965607206], [0.27324897050857544], [0.12262188643217087], [9.805464744567871]]
[[41611.985607206], [0.28678247332572937], [0.10113010555505753], [9.823084831237793]]
[[41612.005608206], [0.29208090901374817], [0.09693083167076111], [9.813783645629883]]
[[41612.025608206], [0.2797302007675171], [0.11387111246585846], [9.814238548278809]]
[[41612.045608206], [0.2798473834991455], [0.10219626128673553], [9.81029987335205]]
[[41612.065608206], [0.31316885352134705], [0.10251875221729279], [9.812021255493164]]
[[41612.085608206], [0.28042054176330566], [0.11549196392297745], [9.795305252075195]]
[[41612.105603102], [0.2819213569164276], [0.11132723093032837], [9.815692901611328]]
[[41612.125603102], [0.2764236629009247], [0.10228457301855087], [9.816976547241211]]
[[41612.145603102], [0.27651116251945496], [0.11258714646100998], [9.806344985961914]]
[[41612.165603102], [0.2809560298919678], [0.10481749475002289], [9.806534767150879]]
[[41612.185603102], [0.27689388394355774], [0.11198974400758743], [9.7919921875]]
[[41612.205603102], [0.2884211838245392], [0.12080439180135727], [9.83483600616455]]
[[41612.225604102], [0.28798678517341614], [0.11516544222831726], [9.799622535705566]]
[[41612.245604102], [0.28246626257896423], [0.10859605669975281], [9.809468269348145]]
[[41612.265604102], [0.30143773555755615], [0.09786209464073181], [9.81590461730957]]
[[41612.285604102], [0.29851436614990234], [0.09958551079034805], [9.813215255737305]]
[[41612.305604102], [0.2906287610530853], [0.11973436921834946], [9.80882453918457]]
[[41612.325604102], [0.3016037046909332], [0.11229442805051804], [9.78691577911377]]
[[41612.345603995], [0.28956475853919983], [0.1132664754986763], [9.808873176574707]]
[[41612.365603995], [0.26677119731903076], [0.12326852977275848], [9.796883583068848]]
[[41612.385603995], [0.27846091985702515], [0.11695706844329834], [9.80677604675293]]
[[41612.405603995], [0.2879718244075775], [0.0877075120806694], [9.792304039001465]]
[[41612.425604995], [0.29694727063179016], [0.10518238693475723], [9.817075729370117]]
[[41612.445604995], [0.27135637402534485], [0.12262409925460815], [9.809422492980957]]
[[41612.465604995], [0.28053539991378784], [0.1192728728055954], [9.807441711425781]]
