[[41611.465605418], [0.0002689659595489502], [0.0015847384929656982], [-0.0008746979292482138]]
[[41611.485605418], [0.002070516813546419], [0.0004135074559599161], [0.0015340745449066162]]
[[41611.505605418], [0.004711001878604293], [-0.0013753771781921387], [0.0025950372219085693]]
[[41611.525605418], [-0.0004902479704469442], [-0.0009670853614807129], [-0.00017434335313737392]]
[[41611.545605418], [0.004345923429355025], [-0.0014632937964051962], [0.006449967622756958]]
[[41611.565605418], [0.0007547438144683838], [0.000598281854763627], [-0.0017121434211730957]]
[[41611.585605418], [0.0026635825634002686], [0.0015027823392301798], [0.0017993154469877481]]
[[41611.605605312], [0.0044502324890345335], [-0.0011548399925231934], [-0.0011295077856630087]]
[[41611.625606312], [0.0026759235188364983], [6.926245987415314e-05], [-0.001361421076580882]]
[[41611.645606312], [0.002903491724282503], [-0.00020861602388322353], [0.0003777444362640381]]
[[41611.665606312], [-0.0005289912223815918], [-0.0003829596098512411], [-0.00013112998567521572]]
[[41611.685606312], [0.0020332636777311563], [0.002428144682198763], [-0.002761184936389327]]
[[41611.705606312], [-0.0019490711856633425], [0.0012002887669950724], [-0.0013396143913269043]]
[[41611.725606312], [0.0004298985004425049], [-0.00031143403612077236], [0.002617388963699341]]
[[41611.745606312], [0.0013090672437101603], [0.0026993458159267902], [0.0017233192920684814]]
[[41611.765606312], [0.00023469352163374424], [0.0007964670658111572], [0.0019304456654936075]]
[[41611.785606312], [0.0030450522899627686], [0.001389533281326294], [-0.0011414287146180868]]
[[41611.805606312], [-0.0008404252585023642], [-0.0001341104507446289], [0.0031776733230799437]]
[[41611.825606312], [0.000537186861038208], [0.0020004811231046915], [-0.00020265555940568447]]
[[41611.845607206], [-0.0010088086128234863], [-0.0031605365220457315], [-0.0005677342414855957]]
[[41611.865607206], [0.0033341352827847004], [0.003787130117416382], [-0.0028222796972841024]]
[[41611.885607206], [0.0008530914783477783], [-0.0021278855856508017], [0.004350394010543823]]
[[41611.905607206], [0.0014223160687834024], [-9.08970832824707e-05], [-0.0008448958396911621]]
[[41611.925607206], [0.004006177419796586], [-1.4901161193847656e-05], [0.00533089111559093]]
[[41611.945607206], [0.002890080213546753], [-0.0035062432289123535], [-0.0028803942259401083]]
[[41611.965607206], [0.0010646882001310587], [8.717179298400879e-05], [-0.0013992188032716513]]
[[41611.985607206], [0.002712756395339966], [0.0014580788556486368], [0.0029735269490629435]]
[[41612.005608206], [0.0015474858228117228], [-0.002677738666534424], [0.0005997719708830118]]
[[41612.025608206], [0.0001989305019378662], [0.0003002583980560303], [0.00356659316457808]]
[[41612.045608206], [0.00336840795353055], [-0.004506111377850175], [0.0014729797840118408]]
[[41612.065608206], [0.0029586260206997395], [0.0017277898732572794], [0.0029243535827845335]]
[[41612.085608206], [0.005016476148739457], [-0.0025913119316101074], [0.002308935159817338]]
[[41612.105603102], [0.0003509223461151123], [0.00033602118492126465], [-0.0014021990355104208]]
[[41612.125603102], [0.0020094215869903564], [-0.0049263236578553915], [-0.0019922847859561443]]
[[41612.145603102], [0.002197176218032837], [-0.0016659495886415243], [0.0004477801267057657]]
[[41612.165603102], [0.0032208855263888836], [-0.0021100041922181845], [-0.0017851591110229492]]
[[41612.185603102], [0.004122407175600529], [-0.0007346272468566895], [0.0014476480428129435]]
[[41612.205603102], [0.007683783769607544], [0.0016935172025114298], [0.0006668269634246826]]
[[41612.225604102], [0.001376122236251831], [-0.0010043380316346884], [0.0008396806661039591]]
[[41612.245604102], [0.0007234516087919474], [-0.0014930963516235352], [-0.0035330650862306356]]
[[41612.265604102], [-0.0002995133399963379], [-0.003103911876678467], [0.0018171968404203653]]
[[41612.285604102], [0.0018395485822111368], [0.0023238365538418293], [-0.0008493659552186728]]
[[41612.305604102], [0.002933293581008911], [0.000140816206112504], [-0.0002145764883607626]]
[[41612.325604102], [0.0009633603040128946], [0.0008083879947662354], [0.0005714597646147013]]
[[41612.345603995], [-0.001259148120880127], [-0.0012055039405822754], [-0.0011667606886476278]]
[[41612.365603995], [-0.0007390975952148438], [0.0017486514989286661], [-0.0005602836608886719]]
[[41612.385603995], [0.0034324824810028076], [0.0024311246816068888], [-0.00021159625612199306]]
[[41612.405603995], [0.0016741456929594278], [0.0005714595317840576], [-1.7881160601973534e-05]]
[[41612.425604995], [0.002590566873550415], [0.0001259148120880127], [-5.364394746720791e-05]]
[[41612.445604995], [-0.0006124377250671387], [0.0005371870938688517], [0.005026907194405794]]
[[41612.465604995], [0.002533942461013794], [-0.0014916060026735067], [-0.0020787117537111044]]
[[41612.485604995], [0.0012524428311735392], [0.000988692045211792], [-0.0010058281477540731]]
[[41612.505604995], [0.005256384611129761], [-0.006042420398443937], [0.002447515958920121]]
[[41612.525604995], [0.005801767110824585], [-0.00025927997194230556], [0.001052767038345337]]
[[41612.545604995], [0.0023983423598110676], [0.0012271108571439981], [0.0005088748876005411]]
[[41612.565604995], [0.003688782686367631], [-0.00013709068298339844], [0.004991144174709916]]
[[41612.585604995], [0.0050626699812710285], [0.002997368574142456], [-0.0008761880453675985]]
[[41612.605604889], [0.0011183321475982666], [-0.0013679263647645712], [-0.000686943531036377]]
[[41612.625605889], [0.0026133637875318527], [0.0005042029079049826], [0.0042250247206538916]]
[[41612.645605889], [0.002635271055623889], [-0.0012502074241638184], [0.0034563245717436075]]
[[41612.665605889], [-0.0015810129698365927], [-0.0026628372725099325], [0.0017680227756500244]]
[[41612.685605889], [0.003666430711746216], [0.0022612514439970255], [-0.001424551010131836]]
