[[41611.499781312], [46.7804607], [6.661409099999999], [497287], [3], [-4], [1]]
[[41611.749781206], [46.7804607], [6.6614092], [497281], [-2], [-8], [5]]
[[41611.999781102], [46.7804607], [6.6614092], [497285], [-1], [4], [12]]
[[41612.249780995], [46.7804607], [6.6614092], [497284], [0], [2], [-5]]
[[41612.499780889], [46.7804607], [6.661409099999999], [497286], [-4], [8], [-8]]
[[41612.749780783], [46.7804607], [6.6614092], [497284], [-1], [2], [-9]]
[[41612.999780678], [46.7804607], [6.6614092], [497283], [1], [-3], [4]]
[[41613.249780571], [46.7804607], [6.6614092], [497284], [3], [-9], [4]]
[[41613.499780465], [46.7804607], [6.6614092], [497285], [-2], [4], [0]]
[[41613.749780359], [46.7804607], [6.6614092], [497288], [1], [-2], [-4]]
[[41613.999780255], [46.7804607], [6.6614092], [497285], [6], [1], [-14]]
[[41614.249780148], [46.7804607], [6.6614092], [497285], [-1], [2], [1]]
[[41614.499780042], [46.7804607], [6.6614092], [497283], [-1], [7], [-4]]
[[41614.749779936], [46.7804607], [6.6614092], [497282], [2], [-9], [8]]
[[41614.999779831], [46.7804607], [6.6614092], [497282], [-2], [-2], [4]]
[[41615.249779724], [46.7804607], [6.6614092], [497285], [0], [6], [-5]]
[[41615.499779618], [46.7804608], [6.6614092], [497283], [2], [4], [-10]]
[[41615.749779512], [46.7804607], [6.6614092], [497283], [-5], [-5], [4]]
[[41615.999779408], [46.7804607], [6.661409099999999], [497287], [-16], [-3], [1]]
[[41616.249779301], [46.7804607], [6.661409099999999], [497287], [-3], [5], [-15]]
[[41616.499779195], [46.7804607], [6.661409099999999], [497285], [1], [1], [-5]]
[[41616.749779089], [46.7804607], [6.6614092], [497257], [24], [1], [-1]]
[[41616.999778984], [46.7804608], [6.661409], [497265], [-22], [7], [86]]
[[41617.249778877], [46.7804609], [6.661409099999999], [497271], [-49], [-65], [1]]
[[41617.499778771], [46.7804609], [6.661409099999999], [497281], [-5], [1], [-27]]
[[41617.749778666], [46.7804607], [6.661409], [497285], [-1], [-11], [-41]]
[[41617.999778561], [46.7804609], [6.6614093], [497273], [62], [61], [-20]]
[[41618.249778454], [46.7804607], [6.6614092], [497273], [-1], [-50], [40]]
[[41618.499778348], [46.7804608], [6.6614092], [497269], [-4], [48], [8]]
[[41618.749778242], [46.7804608], [6.6614092], [497260], [7], [-47], [14]]
[[41618.999778137], [46.7804607], [6.6614092], [497247], [-14], [12], [40]]
[[41619.249778031], [46.7804606], [6.661409099999999], [497245], [-5], [-20], [42]]
[[41619.499777925], [46.7804607], [6.6614092], [497249], [-11], [24], [3]]
[[41619.749777819], [46.7804611], [6.6614096], [497300], [75], [123], [-94]]
[[41619.999777714], [46.7804613], [6.661410399999999], [497543], [268], [168], [-418]]
[[41620.249777607], [46.7804621], [6.661413], [497821], [749], [446], [-870]]
[[41620.499777501], [46.780464099999996], [6.6614166], [497943], [1102], [735], [-1024]]
[[41620.749777396], [46.780466399999995], [6.6614203], [497958], [1214], [926], [-460]]
[[41620.999777291], [46.780469], [6.6614241], [497952], [1189], [1138], [-93]]
[[41621.249777185], [46.780471999999996], [6.6614274], [497975], [940], [1297], [-38]]
[[41621.499777079], [46.780474899999994], [6.6614305], [497943], [1041], [1333], [-22]]
[[41621.749776973], [46.7804771], [6.6614344], [497997], [1153], [922], [4]]
[[41621.999776868], [46.780479299999996], [6.661438599999999], [497944], [1284], [1034], [-28]]
[[41622.249776761], [46.7804815], [6.6614420999999995], [497930], [1061], [987], [96]]
[[41622.499776656], [46.780484099999995], [6.6614461], [497871], [1203], [1150], [124]]
[[41622.74977655], [46.7804862], [6.661449999999999], [497944], [1176], [916], [47]]
[[41622.999776445], [46.7804885], [6.661454], [497926], [1234], [1065], [-112]]
[[41623.249776338], [46.7804911], [6.6614575], [497955], [1034], [1123], [-25]]
[[41623.499776233], [46.7804941], [6.6614606], [497904], [1006], [1363], [-16]]
[[41623.749776127], [46.7804971], [6.6614635], [497943], [850], [1277], [74]]
[[41623.999776022], [46.7805004], [6.661466099999999], [497902], [842], [1431], [-50]]
[[41624.249775915], [46.780503599999996], [6.6614689], [497930], [843], [1437], [79]]
[[41624.49977581], [46.7805069], [6.6614714], [497902], [806], [1462], [-42]]
[[41624.749775704], [46.780510299999996], [6.6614738], [497909], [727], [1488], [38]]
[[41624.999775599], [46.7805136], [6.6614758], [497900], [622], [1447], [19]]
[[41625.249775492], [46.780516999999996], [6.6614777], [497885], [595], [1513], [33]]
[[41625.499775387], [46.7805204], [6.661479], [497862], [396], [1490], [67]]
[[41625.749775281], [46.780524], [6.6614793], [497895], [70], [1556], [23]]
[[41625.999775176], [46.7805274], [6.6614786], [497860], [-143], [1509], [-48]]
[[41626.249775069], [46.780530999999996], [6.6614775999999996], [497859], [-340], [1594], [73]]
[[41626.499774964], [46.7805343], [6.6614762], [497805], [-401], [1547], [85]]
[[41626.749774858], [46.7805375], [6.6614752], [497795], [-307], [1401], [143]]
[[41626.999774753], [46.7805403], [6.661475299999999], [497748], [12], [1232], [98]]
