[[41611.705606312], [-1.6570841073989868], [0.58853679895401], [0.5823078751564026]]
[[41611.905607206], [-1.6452354192733765], [0.5832085013389587], [0.4716636836528778]]
[[41612.105603102], [-1.6390339136123657], [0.5803532004356384], [0.3863735496997833]]
[[41612.305604102], [-1.6375889778137207], [0.5806532502174377], [0.39199578762054443]]
[[41612.505604995], [-1.6324667930603027], [0.5773224234580994], [0.32827645540237427]]
[[41612.705605889], [-1.6390825510025024], [0.5796089768409729], [0.5655086636543274]]
[[41612.905606783], [-1.6340014934539795], [0.5787787437438965], [0.39998659491539]]
[[41613.105602678], [-1.6338326930999756], [0.581852376461029], [0.26808756589889526]]
[[41613.305603678], [-1.6360853910446167], [0.5826618075370789], [0.27569830417633057]]
[[41613.505604571], [-1.6284847259521484], [0.586683452129364], [0.17353779077529907]]
[[41613.705605465], [-1.6284561157226562], [0.5954145193099976], [0.12452204525470734]]
[[41613.905606359], [-1.6276075839996338], [0.5944661498069763], [0.08117334544658661]]
[[41614.105602255], [-1.627810001373291], [0.5993459820747375], [0.05344054847955704]]
[[41614.305603255], [-1.6250730752944946], [0.5978356003761292], [0.05711723119020462]]
[[41614.505604148], [-1.6228992938995361], [0.5987738370895386], [0.039374079555273056]]
[[41614.705605042], [-1.6226145029067993], [0.6035001277923584], [0.03144460543990135]]
[[41614.905605936], [-1.6242262125015259], [0.6041423082351685], [-0.008365923538804054]]
[[41615.105601831], [-1.629360318183899], [0.6089398264884949], [-0.04761512577533722]]
[[41615.305602831], [-1.6273728609085083], [0.6129540801048279], [-0.03809662535786629]]
[[41615.505603724], [-1.6279691457748413], [0.6048768162727356], [-0.09326211363077164]]
[[41615.705604618], [-1.6310467720031738], [0.6061912775039673], [0.0585579015314579]]
[[41615.905605512], [-1.625572681427002], [0.6055457592010498], [-0.15352830290794373]]
[[41616.105601408], [-1.6379737854003906], [0.6093689799308777], [-0.4635531008243561]]
[[41616.305602408], [-1.639589548110962], [0.6035051941871643], [-0.458056777715683]]
