[[41611.605605312], [497.2905921936035]]
[[41611.705606312], [497.29119300842285]]
[[41611.805606312], [497.2918281555176]]
[[41611.905607206], [497.28850650787354]]
[[41612.005608206], [497.28891468048096]]
[[41612.105603102], [497.2878761291504]]
[[41612.205603102], [497.2882671356201]]
[[41612.305604102], [497.28870964050293]]
[[41612.405603995], [497.28746223449707]]
[[41612.505604995], [497.28778648376465]]
[[41612.605604889], [497.28751850128174]]
[[41612.705605889], [497.28786849975586]]
[[41612.805605889], [497.28822231292725]]
[[41612.905606783], [497.2871084213257]]
[[41613.005606783], [497.28743839263916]]
[[41613.105602678], [497.2861909866333]]
[[41613.205602678], [497.2864570617676]]
[[41613.305603678], [497.2868242263794]]
[[41613.405603571], [497.28618240356445]]
[[41613.505604571], [497.2865152359009]]
[[41613.605604465], [497.28633213043213]]
[[41613.705605465], [497.2867212295532]]
[[41613.805605465], [497.28712368011475]]
[[41613.905606359], [497.2880001068115]]
[[41614.005607359], [497.28852462768555]]
[[41614.105602255], [497.28786182403564]]
[[41614.205602255], [497.288387298584]]
[[41614.305603255], [497.28892993927]]
[[41614.405603148], [497.28812980651855]]
[[41614.505604148], [497.2886390686035]]
[[41614.605604042], [497.28714656829834]]
[[41614.705605042], [497.28755283355713]]
[[41614.805605042], [497.2880439758301]]
[[41614.905605936], [497.2863063812256]]
[[41615.005606936], [497.2866611480713]]
[[41615.105601831], [497.28534030914307]]
[[41615.205601831], [497.28564262390137]]
[[41615.305602831], [497.2859888076782]]
[[41615.405602724], [497.28609466552734]]
[[41615.505603724], [497.286509513855]]
[[41615.605603618], [497.2869348526001]]
[[41615.705604618], [497.28614234924316]]
[[41615.805604618], [497.2865991592407]]
[[41615.905605512], [497.2857780456543]]
[[41616.005606512], [497.28618144989014]]
[[41616.105601408], [497.28690242767334]]
[[41616.205601408], [497.28741931915283]]
[[41616.305602408], [497.2880153656006]]
[[41616.405602301], [497.2884292602539]]
[[41616.505603301], [497.2890844345093]]
[[41616.605603195], [497.2897787094116]]
[[41616.705604195], [497.28896045684814]]
[[41616.805604195], [497.2896203994751]]
[[41616.905605089], [497.27817249298096]]
[[41617.005605089], [497.2781181335449]]
[[41617.105600984], [497.2739133834839]]
[[41617.205600984], [497.2735528945923]]
[[41617.305601984], [497.2729139328003]]
[[41617.405601877], [497.2724199295044]]
[[41617.505602877], [497.2717456817627]]
[[41617.605602771], [497.2736940383911]]
[[41617.705603771], [497.2741594314575]]
[[41617.805603771], [497.2759943008423]]
[[41617.905604666], [497.2794179916382]]
