[[41611.605605312], [46.780460357666016], [6.661409378051758]]
[[41611.705606312], [46.780460357666016], [6.661409378051758]]
[[41611.805606312], [46.780460357666016], [6.661409378051758]]
[[41611.905607206], [46.780460357666016], [6.661409378051758]]
[[41612.005608206], [46.780460357666016], [6.661409378051758]]
[[41612.105603102], [46.780460357666016], [6.661409378051758]]
[[41612.205603102], [46.780460357666016], [6.661409378051758]]
[[41612.305604102], [46.780460357666016], [6.661409378051758]]
[[41612.405603995], [46.780460357666016], [6.661409378051758]]
[[41612.505604995], [46.780460357666016], [6.661409378051758]]
[[41612.605604889], [46.780460357666016], [6.661409378051758]]
[[41612.705605889], [46.780460357666016], [6.661409378051758]]
[[41612.805605889], [46.780460357666016], [6.661409378051758]]
[[41612.905606783], [46.780460357666016], [6.661409378051758]]
[[41613.005606783], [46.780460357666016], [6.661409378051758]]
[[41613.105602678], [46.780460357666016], [6.661409378051758]]
[[41613.205602678], [46.780460357666016], [6.661409378051758]]
[[41613.305603678], [46.780460357666016], [6.661409378051758]]
[[41613.405603571], [46.780460357666016], [6.661409378051758]]
[[41613.505604571], [46.780460357666016], [6.661409378051758]]
[[41613.605604465], [46.780460357666016], [6.661409378051758]]
[[41613.705605465], [46.780460357666016], [6.661409378051758]]
[[41613.805605465], [46.780460357666016], [6.661409378051758]]
[[41613.905606359], [46.780460357666016], [6.661409378051758]]
[[41614.005607359], [46.780460357666016], [6.661409378051758]]
[[41614.105602255], [46.780460357666016], [6.661409378051758]]
[[41614.205602255], [46.780460357666016], [6.661409378051758]]
[[41614.305603255], [46.780460357666016], [6.661409378051758]]
[[41614.405603148], [46.780460357666016], [6.661409378051758]]
[[41614.505604148], [46.780460357666016], [6.661409378051758]]
[[41614.605604042], [46.780460357666016], [6.661409378051758]]
[[41614.705605042], [46.780460357666016], [6.661409378051758]]
[[41614.805605042], [46.780460357666016], [6.661409378051758]]
[[41614.905605936], [46.780460357666016], [6.661409378051758]]
[[41615.005606936], [46.780460357666016], [6.661409378051758]]
[[41615.105601831], [46.780460357666016], [6.661409378051758]]
[[41615.205601831], [46.780460357666016], [6.661409378051758]]
[[41615.305602831], [46.780460357666016], [6.661409378051758]]
[[41615.405602724], [46.780460357666016], [6.661409378051758]]
[[41615.505603724], [46.780460357666016], [6.661409378051758]]
[[41615.605603618], [46.780460357666016], [6.661409378051758]]
[[41615.705604618], [46.780460357666016], [6.661409378051758]]
[[41615.805604618], [46.780460357666016], [6.661409378051758]]
[[41615.905605512], [46.780460357666016], [6.661409378051758]]
[[41616.005606512], [46.780460357666016], [6.661409378051758]]
[[41616.105601408], [46.780460357666016], [6.661409378051758]]
[[41616.205601408], [46.780460357666016], [6.661409378051758]]
[[41616.305602408], [46.780460357666016], [6.661409378051758]]
[[41616.405602301], [46.780460357666016], [6.661409378051758]]
[[41616.505603301], [46.780460357666016], [6.661409378051758]]
[[41616.605603195], [46.780460357666016], [6.661409378051758]]
[[41616.705604195], [46.780460357666016], [6.661409378051758]]
[[41616.805604195], [46.780460357666016], [6.661409378051758]]
[[41616.905605089], [46.780460357666016], [6.661409378051758]]
[[41617.005605089], [46.780460357666016], [6.661409378051758]]
[[41617.105600984], [46.780460357666016], [6.661409378051758]]
[[41617.205600984], [46.780460357666016], [6.661409378051758]]
[[41617.305601984], [46.780460357666016], [6.661409378051758]]
[[41617.405601877], [46.780460357666016], [6.661409378051758]]
[[41617.505602877], [46.780460357666016], [6.661409378051758]]
[[41617.605602771], [46.78046131134033], [6.661409378051758]]
[[41617.705603771], [46.78046131134033], [6.661409378051758]]
[[41617.805603771], [46.78046131134033], [6.661409378051758]]
[[41617.905604666], [46.780460357666016], [6.661409378051758]]
[[41618.005605666], [46.78046131134033], [6.661409378051758]]
[[41618.105600561], [46.78046131134033], [6.661409378051758]]
[[41618.205600561], [46.78046131134033], [6.661409378051758]]
[[41618.305601561], [46.78046131134033], [6.661409378051758]]
[[41618.405601454], [46.78046131134033], [6.661409378051758]]
[[41618.505602454], [46.78046131134033], [6.661409378051758]]
[[41618.605602348], [46.780460357666016], [6.661409378051758]]
[[41618.705603348], [46.78046131134033], [6.661409378051758]]
[[41618.805603348], [46.78046131134033], [6.661409378051758]]
[[41618.905604242], [46.78046131134033], [6.661409378051758]]
[[41619.005605242], [46.78046131134033], [6.661409378051758]]
[[41619.105600137], [46.780460357666016], [6.661409378051758]]
[[41619.205600137], [46.780460357666016], [6.661409378051758]]
[[41619.305601137], [46.78046131134033], [6.661409378051758]]
[[41619.405601031], [46.780460357666016], [6.661409378051758]]
[[41619.505602031], [46.780460357666016], [6.661409378051758]]
[[41619.605601925], [46.780460357666016], [6.661409378051758]]
[[41619.705602925], [46.78046131134033], [6.661409378051758]]
[[41619.805602925], [46.78046131134033], [6.661408424377441]]
[[41619.905603819], [46.78046131134033], [6.661409378051758]]
[[41620.005604819], [46.78046131134033], [6.661409378051758]]
[[41620.105599714], [46.78046226501465], [6.661410331726074]]
[[41620.205599714], [46.78046226501465], [6.661411285400391]]
[[41620.305600714], [46.780463218688965], [6.661412239074707]]
[[41620.405600607], [46.78046417236328], [6.661415100097656]]
[[41620.505601607], [46.7804651260376], [6.661416053771973]]
[[41620.605601501], [46.780466079711914], [6.6614179611206055]]
[[41620.705602501], [46.78046703338623], [6.661419868469238]]
[[41620.805602501], [46.78046798706055], [6.661421775817871]]
[[41620.905603396], [46.78046894073486], [6.6614227294921875]]
[[41621.005604396], [46.780470848083496], [6.66142463684082]]
[[41621.105599291], [46.78047180175781], [6.661426544189453]]
[[41621.205599291], [46.78047275543213], [6.6614274978637695]]
[[41621.305600291], [46.78047466278076], [6.661428451538086]]
[[41621.405600185], [46.78047561645508], [6.661429405212402]]
[[41621.505601185], [46.780476570129395], [6.661430358886719]]
[[41621.605601079], [46.78047752380371], [6.661432266235352]]
[[41621.705602079], [46.78047847747803], [6.661433219909668]]
[[41621.805602079], [46.780479431152344], [6.661435127258301]]
[[41621.905602973], [46.780479431152344], [6.661437034606934]]
[[41622.005602973], [46.78048133850098], [6.66143798828125]]
[[41622.105598868], [46.78048133850098], [6.661439895629883]]
[[41622.205598868], [46.78048229217529], [6.661441802978516]]
[[41622.305599868], [46.78048324584961], [6.661442756652832]]
[[41622.405599761], [46.780484199523926], [6.661444664001465]]
[[41622.505600761], [46.78048515319824], [6.661445617675781]]
[[41622.605600656], [46.78048610687256], [6.661447525024414]]
